書名,作者,售價,原價,折扣,動物種類,主題分類,組合分類,連結,圖片
家禽場衛生管理手冊 38: 影響母雞產蛋之重要病毒性疾病及其預防策略 直接影響生殖系統而致產蛋異常,陳秋麟/ 郭鴻志/ 羅登源,118,150,79折,鳥類,"醫療健康, 圖鑑百科","鳥類-醫療健康, 鳥類-圖鑑百科",https://www.eslite.com/product/10012107272683054430009,https://www.eslite.com/assets/loading_large-gfh39H8Y.gif
動物的內心生活 (第2版),彼得．渥雷本,300,380,79折,通用,"照護飼養, 寵物溝通","通用-照護飼養, 通用-寵物溝通",https://www.eslite.com/product/10012013192683024887000,https://www.eslite.com/assets/loading_large-gfh39H8Y.gif
黑潮尋鯨: 用身體寫日記的花紋海豚,張卉君/ 余欣怡/ 蔡偉立/ 蔡南益/ 林慧貞/ 林東良,331,420,79折,通用,故事散文,通用-故事散文,https://www.eslite.com/product/10012010302683018778000,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/vendor/vendor176044692320420251014210205/mainCoverImage1_1537971.jpg
"當貓咪老了: 家有七歲高齡貓, 從飲食健康、生活起居、到醫療照護, 讓愛貓陪伴你長長久久",獸醫NYANTOS,379,480,79折,貓,"照護飼養, 醫療健康","貓-照護飼養, 貓-醫療健康",https://www.eslite.com/product/10012010302683018784001,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/vendor/vendor176044692320420251014210205/mainCoverImage1_1537968.jpg
終極全方位指南: 龍貓照顧101問,Shahna Powell,869,1100,79折,"貓, 小動物",照護飼養,"貓-照護飼養, 小動物-照護飼養",https://www.eslite.com/product/10012242562683029378008,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/vendor/vendor176163836358420251028155923/mainCoverImage1_1546202.jpg
黑潮尋鯨: 用身體寫日記的花紋海豚 (附限量插畫明信片2款),張卉君/ 余欣怡/ 蔡偉立/ 蔡南益/ 林慧貞/ 林東良,331,420,79折,通用,"攝影藝術, 故事散文","通用-攝影藝術, 通用-故事散文",https://www.eslite.com/product/10012010302683018777003,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/vendor/vendor176049932657920251015113526/mainCoverImage1_1538234.jpg
超危險生物求生圖鑑,小宮輝之/ 監修,276,350,79折,通用,圖鑑百科,通用-圖鑑百科,https://www.eslite.com/product/10012168942683010940009,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/vendor/vendor175921652230120250930151549/mainCoverImage1_1531194.jpg
"屬狗意的養狗新科學: 舊觀念OUT! 專家嚴選100則最新知識, 隨翻隨讀, 從玩耍、教養、大小便到健康管理全解析, 一本帶你養出最幸福的狗狗",鹿野正顕,308,390,79折,狗,"照護飼養, 醫療健康","狗-照護飼養, 狗-醫療健康",https://www.eslite.com/product/10012043902683007921004,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/vendor/vendor175862536736720250923190246/mainCoverImage1_1528349.jpg
八方蛇集: 八仙山蛇類觀察筆記,毛彥喬/ 林文隆/ 吳雪如/ 陳光庭/ 許竹君/ 許仲淮/ 黃詩宇/ 游立祥/ 顏鴻鈞,276,350,79折,爬蟲兩棲,其他,爬蟲兩棲-其他,https://www.eslite.com/product/10012107272683015198009,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/newItem/2025/10/03/322_190143110_569_mainCoverImage1.jpg
"歡迎加入動物聊天室: 跨物種觀察筆記, 語言與情感的演化對談",山極壽一/ 鈴木俊貴,331,420,79折,通用,寵物溝通,通用-寵物溝通,https://www.eslite.com/product/10012020152683011356007,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/newItem/2025/09/26/227_173448787_255_mainCoverImage1.jpg
鸚鵡傳染病與防治: 一窺臺灣鸚鵡常見傳染病面貌與正確防治要點,馬丞佑/ 陳宇呈,500,500,,鳥類,其他,鳥類-其他,https://www.eslite.com/product/10012126702683017595004,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/newItem/2025/10/13/17833_143858110_907_mainCoverImage1.jpg
謝謝你因為我很幸福 (附書+牌卡珍藏書盒+74張臺灣藥輪動物陪伴卡+牌卡使用引導+牌卡指引日記電子檔),春花媽,"1,011",1280,79折,通用,"照護飼養, 故事散文","通用-照護飼養, 通用-故事散文",https://www.eslite.com/product/10012122452682998119001,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/vendor/vendor175758103958520250911165716/mainCoverImage1_1518742.jpg
毛孩的幸福食堂: 新手友善入門寵物點心,兔兔老師Stella,300,380,79折,"狗, 小動物",照護飼養,"狗-照護飼養, 小動物-照護飼養",https://www.eslite.com/product/10012030392682996688004,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/newItem/2025/09/10/8141_154801745_334_mainCoverImage1.jpg
蝴蝶飼養與觀察 (全新增修版),洪裕榮,466,590,79折,通用,照護飼養,通用-照護飼養,https://www.eslite.com/product/10012168942682988157006,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/vendor/vendor175669311266220250901101856/mainCoverImage1_1509838.jpg
"鳥友必備! 寵物鳥發情應對手冊: 從鳥寶性知識、下蛋到發情行為處理, 鳥名醫給飼主的幸福教科書",海老澤和莊,355,450,79折,鳥類,"照護飼養, 行為訓練, 圖鑑百科","鳥類-照護飼養, 鳥類-行為訓練, 鳥類-圖鑑百科",https://www.eslite.com/product/10012043902682982332003,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/vendor/vendor175619101018420250826145010/mainCoverImage1_1504662.jpg
"蜂學問: 蜂類生態×養蜂技術×圖解知識, 深入探索蜂之奧秘",蔡明憲,"1,169",1480,79折,野生動物,圖鑑百科,野生動物-圖鑑百科,https://www.eslite.com/product/10012013192682985316000,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/newItem/2025/08/29/15138_163648296_545_mainCoverImage1.jpg
當然問倉鼠才清楚! 超萌圖解最誠實的鼠鼠行為: 動物學家全面解析從習性、相處到飼養方式的130篇鼠鼠真心話 (第2版),今泉忠明,315,399,79折,小動物,"照護飼養, 行為訓練, 圖鑑百科","小動物-照護飼養, 小動物-行為訓練, 小動物-圖鑑百科",https://www.eslite.com/product/10012043902682976754002,https://s2.eslite.com/unsafe/fit-in/x240/smart/filters:sharpen(sigma):format(webp)/s.eslite.com/b2b/vendor/vendor175560635031020250819202551/mainCoverImage1_1500552.jpg
